label,premise,hypothesis
contradiction,a man in a ventilation mask is carving a knight onto a brick wall.,A man in a swim suit paints on the beach.
contradiction,a young girl stands on one leg.,A young girl running on the street
contradiction,A few people in a public park.,A few people in a public library.
contradiction,"Two men, wearing hard hats and blue and yellow coats stand in front of a large machine and smile.",The men are practicing interpretive dance.
contradiction,A family coming back from shopping and a gentlemen is reading his newspaper to the side of the street.,Family is laughing at the man who is painting a gentleman
contradiction,A crowd is watching runners during a marathon.,A crowd is watching a wheel of fortune.
contradiction,A group of women working in a fabric factory.,A group of woman talking about the store.
contradiction,Two teams of boys playing football in the sand.,boys are sleeping in the shade under a tree
contradiction,"A food vendor stands behind a display of bins of several types of nuts, candy, or other small snacks, with signage in Hebrew.",The vendor is sitting
contradiction,A young man with a red uniform on practicing his soccer kick.,A young woman is practicing her basketball skills
contradiction,one man and a woman sitting on a table in a restaurant eating dinner,the man and woman are in the sewer having a siezure
contradiction,Two boys kick around a ball in a meadow.,Two boys are swimming.
contradiction,Children smiling and making faces to the camera.,The children are deceased.
contradiction,Two males are running in an uncrowded area.,There are men sitting outdoors
contradiction,A brunette couple smiles at the camera while sitting on a couch.,The couple are on the bed.
contradiction,Two boy scouts are standing on what appears to be a stage surrounded by a camping scene.,Two girls on a stage.
contradiction,A group of Asian men and women take a picture in front of a building.,A group of people are sitting down for dinner.
contradiction,Girl reading book walking down street.,"A girl is sitting down, looking at the ceiling."
contradiction,Two men looking at each other with computer monitors in the foreground.,There are two women staring at each other
contradiction,Two people are dancing by a red couch.,The people are driving.
contradiction,Three boys are sitting by several laptops.,The girls sat near the laptops.
contradiction,Two people play soccer while three people watch.,Three people are watching a volleyball match.
contradiction,"Three people sit on a sofa, one of which is holding a baby.",A man walks by himself after dark.
contradiction,A lady with sunglasses on her head is wearing a blue top with a black top on top of it and is walking behind a man wearing a pink shirt.,A lady in a green dress walks in front of a man in a suit.
contradiction,A dog is jumping up at a man wearing a search and rescue jacket.,The crowd of people are at a music festival.
contradiction,A child is turning the handle on an egg-beater.,the child is sleep
contradiction,A woman on a sidewalk with luggage.,A woman has luggage above her head.
contradiction,The two dogs are running through the water side by side.,Two dogs are sitting on a couch.
contradiction,A child sleeping in peace.,A child is eating bacon.
contradiction,Two people are carrying rows of white and teal seats.,There are people purchasing seats
contradiction,A man on a scaffold paints a wall with a paint roller.,A man is eating a burger.
contradiction,A man in a white shirt playing a black and white guitar.,A man plays the trombone
contradiction,this is a motorcycle race.,this is a car race.
contradiction,Grandfather fishes while grandson waits with net.,The man is playing basketball.
contradiction,"A man in a suit dozes on a park bench, with a sign for the subway in the background.",The man is fully awake.
contradiction,an asian girl wearing a red hat along side several others with red hats as well,The woman's hat is green.
contradiction,An older workman is standing in wet cement with a trowel.,A man is laying down on wet cement.
contradiction,A football player in green tackles a football player in white.,Two players playing volleyball
contradiction,"A woman in black stands by a grill, with a bright green, blue, and yellow umbrella shading her.",The woman is not in black
contradiction,A group of children are waving a large cloth up and down.,There is only one child.
contradiction,The man in the striped shirt has the attention of a gathering crowd.,A man in a striped shirt walks down the street alone.
contradiction,The skateboard is falling away from the skateboarder as he attempt a jump.,Someone is riding a bicycle.
contradiction,Couple kisses while sitting on a bench next to a river while others are seated adjacent.,Two kids playing soccer.
contradiction,Workers on a platform work together to carry an item with skyscrapers in the background.,Workers on a platform work to clean windows by the ocean.
contradiction,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,The group are enjoying the fresh air.
contradiction,A person playing the accordion on a bridge.,The person is jumping off the bridge
contradiction,He is at work overlooking the busy streets below.,The man comtemplates jumping.
contradiction,A man in a bright yellow and orange safety vest is showing a white architectural model to four people sitting at a table in a room.,The man is wearing a green vest
contradiction,A man in a white outfit is outside.,A man in all black is indoors.
contradiction,A dark dog jumps across the snow near the woods.,A dog sleeps on his bed inside by a fire.
contradiction,A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is playing Dance Dance Revolution.
contradiction,A little girl flipping her pancake over.,A little girl drinking her juice.
contradiction,A man in a blue t-shirt is holding a little girl upside down.,The man made the little girl cry.
contradiction,A construction worker is working on a support beam on a building.,A dog is running
contradiction,A man in a black vest tries to open the window of a white and yellow van.,The man is wearing a pink Hello Kitty vest.
contradiction,A guy near the water working with wood.,Guy swimming in the lake
contradiction,A person in a wetsuit is surfing on the water.,The person is swimming.
contradiction,Woman sitting on chair with belongings in metal cart in front of spray painted graffiti.,A man runs down the street with a shopping cart.
contradiction,A girl with a red scarf wrapped around her neck is walking down the road carrying a white bag.,The girl skips along wearing her blue scarf
contradiction,A horse jockey is jumping a horse over an obstacle on a coarse.,a horse jocket is sleeping at home
contradiction,People attending an outdoor concert.,Some people watch an outdoor play.
contradiction,A male biker is doing a trick on a dirt path.,a man hiking on a path.
contradiction,Man posing by a natural pool.,The man is posing by a billboard.
contradiction,Two men and a woman sit on a brown bench with a brown dog.,The bench has no brown on it.
contradiction,A white woman looking outside her window in broad daylight.,a woman is asleep at home at midnight
contradiction,A blond girl eating an ice cream.,A girl is cooking a steak.
contradiction,"An individual wearing a beanie and a blue coat stands hunched over suitcases of various items, including cameras and scissors, on the sidewalk.",The man is inside in front of the fireplace.
contradiction,A man is walking down the street carrying a huge bundle of baskets.,The man is running on the beach.
contradiction,Two men stand on a sidewalk in front of a tropical hotel.,Some men are standing inside an elegant hotel.
contradiction,A woman in a white dress holding flowers standing in front of 4 cows.,A bride is riding a horse.
contradiction,A middle-aged man with dark hair and glasses is looking through a telescope while holding a young boy who is looking at the camera.,The man is looking through binoculars.
contradiction,Middle-aged man with long blond-hair and wearing glasses sits with a crowd.,The zombie is wearing glasses.
contradiction,A man at a food cart is serving corn.,A woman at a food cart.
contradiction,"Two men standing in a work place, one man taking pictures.",The men are riding horses.
contradiction,A man stands in behind a tray of small toys.,A man is standing near large toys
contradiction,A well dressed asian businessman walking ahead of a poorly dressed asian man in front of a white tile wall.,Three women dressed in suits stand near a wall.
contradiction,One of the members of KISS playing a white electric guitar in front of a black background.,The guitar is black
contradiction,Children in swimming clothes in a field.,Children are wearing coats.
contradiction,A little girl is walking along a line of logs on a sandy beach.,The girl is skating down the beach boardwalk.
contradiction,"A group of women in long, white skirts tie handkerchiefs to their heads.",The group of women are wearing black dresses.
contradiction,Two man finish wrapping a billboard sign on a building that advertises Lombardi sports.,Two men are using sewing machines.
contradiction,Two girls sitting outside by a body of water.,Neil Armstrong is sitting with the girls.
contradiction,A dog wading in the water with a ball in his mouth,The dog is dry.
contradiction,A man in long plaid shorts and a Easter hat carrying a black bookbag walks with a heavyset woman with pink hair and wearing a hippie style dress walk away from the camera following many other similarly dressed people.,The group of people are all dressed in bikinis.
contradiction,Two children an adult wearing a bicycle helmet playing in a pile of fall leaves.,A lion roars into the wild.
contradiction,A man is putting up a poster in front of a shop.,The man is indoors.
contradiction,Two Asian women are holding a YMCA sign and posing for the picture.,the women are crying at the doctors office
contradiction,The man fishing while sitting on the cliff.,A woman is fishing on the cliff.
contradiction,Man with bowl cut and gray shirt photographed from behind on a subway.,A man draws a portrait of another man.
contradiction,A crowd of people sit an walk across dirty streets,People are running in a marathon.
contradiction,A young football player is setting up for a field goal.,A capital ship for an ocean trip was the Walloping Windowblind.
contradiction,A group of young African American kids sitting on a white wall in front of a white building.,Some adults are walking near a white building.
contradiction,Kenyan female running in a marathon.,The female is asleep at home.
contradiction,A woman in leopard print leggings pushes a stroller while a man in a blue dress shirt walks by her on the street.,The woman is wearing shorts.
contradiction,Two guys are sitting in a room together.,A woman is holding a turtle.
contradiction,A man standing on a bridge under a crane.,A man not standing on a bridge
contradiction,"Two soccer players, one in white, the other in maroon, are playing and the player in white is going for a header.",Three football players are sidelined.
contradiction,A young girl with pink hoodie and faded jeans is putting her face in front of a talking tube.,An individual stands infront of a pool.
contradiction,A soccer player is getting ready to kick the ball.,The soccer player is asleep on the field.
contradiction,A woman in a green shirt walking.,A woman in a green shirt is standing still.
contradiction,A young girl is looking through an old fashioned video camera.,A girl is drawing a picture.
contradiction,"A girl, a boy, and a woman looking in the same direction.",Two people share a milkshake.
contradiction,The young man sleeps while he walks.,The guy doesn't sleep walk
contradiction,A couple of men sitting under a tent.,The men are doing laps in a pool.
contradiction,Four men are walking up a trail.,the men are riding a boat
contradiction,A man is riding the bike without wearing his helmet.,The man has been bowling for hours.
contradiction,Boy wearing helmet stands by tree while man wearing helmet checks bicycle wheel.,the man took his son fishing
contradiction,A person jogs down a gravel road after a small dog.,The person is walking.
contradiction,A man standing in front of a blue wall in a brown shirt and white pants.,The shirt is yellow
contradiction,A woman in a green dress looking at another woman's ring on a street.,A woman with another woman walking besides her.
contradiction,A young man prepares some hamburgers on a grill in the backyard.,The man is sitting on his sofa.
contradiction,A man in an orange shirt and hat looks on while a young child walks in the grass.,The child is running away from the man.
contradiction,Men in a kitchen preparing food.,Several men play football.
contradiction,"Basketball team, with one of the players about to go for a shoot.",There is a hockey team.
contradiction,A man throwing an object at a dog who is running away.,A man is petting a dog laying at his feet.
contradiction,"A young Asian girl, with a black, Carnegie Mellon sweatshirt, is walking and listening to music through white earbuds.",A boy is doing his homework in class.
contradiction,A little boy wearing a white shirt and gray pants appears to be dancing.,A backpacker strolls through his school
contradiction,A woman is eating something in public.,a woman eats in her home
contradiction,A woman with a purple number 10 shirt and blue shorts stands in front of a brick wall full of sitting children.,Children are running in a field.
contradiction,"A woman, wearing a burqa, is holding a disturbing picture of a young girl lying outside in an area with rocks.",A woman is taking pictures of puppies
contradiction,A person in a blue shirt and hat working on a roof of a structure that is behind a fence.,The person in the blue shirt was eating lunch
contradiction,A little girl in blue is watching a little boy in black swing at a disney princess pinata.,kids at school take a test
contradiction,a group of people being pulled in a horse buggy by 4 horses on a grassy field.,A group of men are dancing.
contradiction,Bicyclists stay in a line as each wear different color suits.,The bicyclists are wearing the same color.
contradiction,Two baseball players in striped uniforms are hugging.,Two baseball players are not hugging
contradiction,"Kids doing a soccer drill in the soccer field, they are all dress in soccer uniforms except for one boy which is wearing casual clothing.",A woman bakes bread.
contradiction,A young boy standing between a wall and several large boulders.,Peter Pan was 87.
contradiction,Two young boys appear to be throwing rocks into a lake from the bank.,The boys are in a grassy field.
contradiction,A chef wearing white and black (and a white chef hat) lifting a spoon full of his newly concocted soup from a large stainless steel pot.,A man wearing jeans is spitting into the soup.
contradiction,People walk by a display of underwear hanging in a stall.,The people are swimming in the ocean.
contradiction,Three greyhounds racing around the corner of a track.,Three grayhounds are loafing around the corner of a track
contradiction,A lady waiting to walk across the street.,The lady is inside reading a book.
contradiction,A boy in a green t-shirt and orange pants is using chalk to draw on the sidewalk as a younger boy in a yellow t-shirt looks on.,A kid draws on a wall while no one watches.
contradiction,A man wearing black pants is sitting on a bench holding a stick.,A man is picking up sticks that have fallen in his yard.
contradiction,"An old woman gazes up with thought, with two smiling women and a large man in the back and foreground.",The woman is asleep in the grassy meadow.
contradiction,People are standing around with one person hanging a tarp.,There are people sitting.
contradiction,A man sitting on a ball hides his face from a small kid.,They are inside playing games.
contradiction,A man in a yellow jumpsuit is standing outside next to brown bags on the ground.,A man is sleeping.
contradiction,A young girl wearing a dress is running in a field.,The young girl is learning her alphabet in her preschool classroom right now.
contradiction,Three teenage boys standing in front of a white car,Three boys on a boat
contradiction,A man close to a red car is taking pictures.,a man is driving a tank next to a black car
contradiction,A woman with a camera stands next to a stone wall.,The woman is having dinner in the theater
contradiction,A woman sitting on a wall on a bright summer day.,A woman is standing near a fence.
contradiction,Race cars driving through rain on a racetrack at night.,A man drives a tank.
contradiction,A Yankees fan sits at a computer with headphones on.,A booger sitting at a computer with headphones on.
contradiction,A man in a black shirt jumping with a coffee cup full of a beverage.,The man in red danced with a mug.
contradiction,Their are three women at a desk and the women with the long braid looks in the microscope.,The women are giving puppies a bath.
contradiction,A woman sits on a mat surrounded by red fruits.,The woman is driving a car.
contradiction,Many people crowded on some sort of public transportation.,a group of giraffes in a zoo pen
contradiction,"Two women on the beach, looking at a tattoo on one of their backs.",Two women swim and flirt with guys at the beach.
contradiction,Little toddler riding his bike for the first time.,A girl learns to dance.
contradiction,A woman with a blue jacket and black pants is under a black and yellow tent,A woman in a green dress is in line to buy popcorn at a movie theater.
contradiction,A football quarterback dropping back and planting his feet to throw a pass.,man fell down on the ground
contradiction,A man in a red t-shirt rides his bicycle past Eddie's Sweet Shop.,A man fell off his bicycle.
contradiction,Woman in nice clothes does not have an umbrella.,the woman is asleep at home
contradiction,"Several construction workers next to a rail, with a child dressed as a worker.",There are several cashiers next to a rail.
contradiction,A martial arts competition between a blue and red belt.,The band is playing at the marching band competition.
contradiction,There are buildings in the background.,A desert rests in the background
contradiction,A young artist paints a picture of several people kayaking in the lake.,The photographer takes a picture of the beach.
contradiction,A girl with long hair is riding a teeter totter.,A girl climbing the monkey bars.
contradiction,"A classroom in India, with many decorations hanging from the ceilings, and a white circle on the floor.",A classroom in India is bare.
contradiction,Two girls holding cups of water while walking next to a barbed wire fence.,People are dancing on a table in the park.
contradiction,Bicyclists waiting at an intersection.,A bicyclist is sitting down having lunch at the mall.
contradiction,Three men in a fishing boat on a river in Africa.,three men swimming in river
contradiction,People eating at an Asian restaurant.,People are eating at a Pizza Hut.
contradiction,A woman in a string bathing suit with a man on a boardwalk on a foggy day.,A woman is in a one piece suit
entailment,A little girl in a yellow dress lays on a wooden floor surrounded by flowers.,A girl is laying on the floor next to flowers.
entailment,"A man with a yellow jacket, bright red tie, and red clown nose with a large sign on his back standing on a walkway.",A man is on the walkway.
entailment,Man on a moped looking back as he crosses the street.,The man is on a moped.
entailment,A small brown dog playing with bubbles in grass.,The brown dog is engaged in a pysical activity.
entailment,A dog stands on the edge of an icy body of water.,A dog is standing outside.
entailment,A man in black surfs on a wave.,The guy is surfing.
entailment,"A young Asian woman wearing a mask drives a scooter in a crowded street, with a young man sitting behind her.",A young lady is driving a scooter.
entailment,A little girl in a brown top and pink pants is balancing a bowl with plants in it on her head.,A girl has a bowl of plants on her head.
entailment,two girls are laying down together on a couch,Two people are laying together on a couch.
entailment,A man is playing an organ.,a man is pressing keys
entailment,A girl in a white dress walks toward the water and away from white boots on a beach.,A girl walks toward the water.
entailment,"On a narrow street lined with houses, some with red awnings, a man talks on his cellphone.",A man talks.
entailment,three little girls run on a soccer field.,Children playing sports.
entailment,A couple covered in paint caught the attention of those in front of them at the fruit stand.,Paint-covered people attract interest.
entailment,The happy couple enjoys the scenic winter stream.,The couple is enjoying the winter weather.
entailment,A squad of military personnel are driving a jeep in an urban setting.,The military are in an urban area.
entailment,A kid standing up on a swing in a park.,A kid standing tall on a swing outdoors.
entailment,A foreign politician answering questions from the media.,A politician is speaking.
entailment,A couple of older people are sitting on a chair in an area surrounded by railing.,A couple of older people are sitting on a chair
entailment,An African with an old magnesium flash camera.,The person is using a camera.
entailment,A man dressed in blue stands against a wall.,There is a person dressed in a cool color who is standing.
entailment,"A man pushes a miniature train engine which a little boy, possibly his son, is riding down a track at a park of some sort.",A boy and his father are enjoying their time at a park.
entailment,A hiker is climbing up a snowy mountain.,The mountain is snowy.
entailment,People are eating food in a busy restaurant.,People are eating.
entailment,A white dog sits on a rocky lawn.,A white dog sits on a nonsmooth lawn.
entailment,A toddler with medium length black hair is carrying a patterned bundle of cloth.,A black haired toddler is carrying a cloth.
entailment,Three people are riding horses at a show.,Three people riding horses.
entailment,A man and a woman stand together hold and young boy and a baby.,The couples are holding their kids.
entailment,The ski instructor is teaching the little girl how to bend her knees and stand on her ski's.,A little girl is taking skiing lessons.
entailment,a young couple with child shops at a small sandwich and coffee shop.,Three individuals are shopping for food and drink.
entailment,A man sitting on a bench in a park reads the newspaper.,A man is outdoors.
entailment,A small dog wearing a purple and green cape,The dog is small.
entailment,"A woman in blue with a striped purple scarf on her head, stands in front of a woman with a brown headband on her forehead who is speaking with a man wearing light blue and wearing a purple turban.",A woman has something on her head.
entailment,"A male and female fire performer, work their craft in front of an audience.",Two people perform a trick.
entailment,Skier skiing downhill,Someone is skiing downhill.
entailment,People watching a man breakdance.,A man is breakdancing.
entailment,A group of three young adults stopped to pose for a picture outside a clothing shop.,Three people pose in front of a clothing shop.
entailment,Here is a picture of two people standing in the middle of the road at the dark of night.,Two friends are walking at night to eat dinner
entailment,Child in blue trunks splashing in blue kiddie pool,child in pool
entailment,Brown-haired woman turning head fast making hair whip around.,Brown-haired woman whips her hair around.
entailment,A very happy boy signs a large piece of paper with plethora names on it.,The boy is writing a name.
entailment,a young wrestler being thrown to the yellow mat.,A wrestler thrown to the mat.
entailment,Three men sitting laughing and clapping.,The laughter and applause came from the three guys sitting down.
entailment,A man and his canine on the beach.,A dog is near the man.
entailment,A man and a woman on stage performing a dance.,Two people dancing on stage.
entailment,closeup of bartender (women) grabbing a glass inside the bar.,A woman inside a bar.
entailment,"A person wearing a red, white, and blue helmet sitting on a motorcycle.","A human being wearing red, white, and blue is sitting on a vehicle."
entailment,A band recording in the stdio with drums.,A band is record in a studio.
entailment,A woman in a 3rd world country using a saw to cut through a steel bar.,A woman is cutting a bar
entailment,A man has transformed into an abstract piece of art on the street corner near a park.,A man is a piece of art outside.
entailment,"Women's Soccer, Blue and white team versus Red and white team, Seems intense.",The soccer game is exciting for the players and fans.
entailment,A girl in a tree smiles.,A smiling girl is sitting in a tree.
entailment,A man turning around and smiling as he walks down a busy street at night.,there is a drunk man who is happy
entailment,"Several boys in bright orange clothing standing in front of a lake with boats in it, holding up an object that is dripping.",People standing outside.
entailment,Soccer players wearing black shirts standing along the goal line.,There are players at the goal line.
entailment,A girl holds a teddy bear while wearing a floral outfit and pink shoes.,There is one child in this picture.
entailment,A man and a boy pose for a picture in a stairway overlooking a waterfall.,A man and a child have their picture taken together.
entailment,"A man holding his foot out to the camera, while sitting on a red couch next to a sleeping woman.",The woman is asleep.
entailment,"A person in a gold shirt is holding a guitar, by the neck, that has many religious stickers on it.",A person is holding a guitar.
entailment,Slender dog running in the sand on a sunny day.,The dog is running in the sand.
entailment,A female gymnasium in a blue leotard getting hugged by someone else in a blue jacket and black pants.,The people are hugging.
entailment,A baby with its eyes closed is holding a wooden toy and biting it.,The child is chewing its toys.
entailment,A man wearing a tan coat shovels snow out of his driveway.,A man is wearing a tan coat
entailment,Little boy rides around playground on a motorized bike.,Boy rides a motor bike.
entailment,A man with work gloves and tool belt climbs the scaffolding next to an old yellow and white building.,A worker climbs scaffolding up the side of an old building.
entailment,Two women walking down the sidewalk by a pond.,The women are using their legs.
entailment,A man in a blue shirt and green shorts about to cook a marshmallow over a fire.,People are by a fire.
entailment,A young man looking at a camera.,A person looks at a camera.
entailment,A man doing a trick on a bike while in the air.,a man is doing a trick on his bike
entailment,A person is walking up a snowy hill,person walks up hill
entailment,Girl wearing blue jeans doing tricks on a bike.,There is a girl wearing clothes.
entailment,"Several dogs in the snow, all harnessed in a line.",Several dogs are in the snow
entailment,A boy is making the victory sign with both hands,The boy made the victory sign.
entailment,There is a woman with a purple wrap on who is making quits the old fashion way with a loom.,A woman is using a loom.
entailment,A man standing next to a wall with a company logo.,The man is a company employee.
entailment,Two Indian people are dancing at a wedding with flower petals all over the floor.,Two Indian people people dancing at a wedding.
entailment,A woman with fair skin and light brown hair playing the violin.,A woman plays the violin.
entailment,A guitar band is playing on stage.,A guitar band is playing.
entailment,A man on a Segway speaks to a couple of ladies.,The guy in the picture is not on horseback.
entailment,A young teen performing a skateboard trick at a construction site caught in midair flipping his board.,A young person is doing a trick on his skateboard.
entailment,baseball players playing with kids and adults on a field.,Baseball players playing outside.
entailment,A man stands on a scaffold his back facing away looking at a city.,A man is on scaffolding not looking at the ciy.
entailment,Three women stand in a kitchen cooking.,The women are indoors
entailment,Several people gather outside a street market at night.,People gather outside a market.
entailment,"Someone is snowboarding down a hill, shredding snow.",There is snow on the hill.
entailment,"Three people dressed in blue, white and black leotards are being held up by the hands of a set of two people each on the ground dressed in the same outfit as people look on.",People are watching as two people hold up three people in matching leotard outfits.
entailment,A woman wearing a maroon hoodie is holding a black object as she wades through shallow water under a bridge.,There is a woman in the water holding a some sort of object.
entailment,A man in a yellow shirt and light colored pants sits next to a woman wearing a light colored hat in front of a camper while a young boy in a yellow shirt and jeans tosses rocks.,A man sits next to a woman while a boy tosses rocks near a camper
entailment,A person is sitting on a chair while listening to music.,A person is sitting.
entailment,"Two babies asleep in a highchair, one baby wearing blue and the other wearing red.",One baby is wearing red.
entailment,A man in a suit waits for the subway,the man is waiting
entailment,A man in a high-visibility vest cleans up trash at an intersection.,The person is helping remove litter.
entailment,A young boy wearing orange is running with the football as the boy in blue tries to wrestle him to the ground.,Two boys are playing football.
entailment,A caucasian boy looking through a microscope outdoors.,The boy is looking at something.
entailment,Two people riding bikes next to a railroad.,The people are outside.
entailment,A girl with extended arms goes down a slide.,A girl plays at a playground.
entailment,two men wearing boots are playing guitar,Two men are playing instruments.
entailment,Young Girls wearing skirts run hand in hand in some grass.,There are people outside.
entailment,A person in a black wetsuit is surfing a small wave on a beige surfboard.,A person surfing a wave.
entailment,Five construction workers dig a hole to plant a tree.,Workers dig a hole.
entailment,A woman is holding a drink high in the air.,The woman has her arm extended.
entailment,The brown dog stands in the water and shakes off.,The dog is shaking off water.
entailment,A motorcycle parked on the side of the road.,A motorcycle is parked.
entailment,A guy with short brown hair is playing a wooden stringed guitar-like instrument while wearing a green Hawaiian skirt with white flowers on it and has a pink flower behind his ear.,A guy playing a string instument.
entailment,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone's back.,the man is a tattoo artist
entailment,"Two young brunette girls, one dressed in a dark blue dress, the other in white, are facing each other and holding out some triangular objects towards each other in front of a stone wall.",two girls in dresses are posing
entailment,A man smoking a cigarette is walking his dog next to a lady wearing a blue striped jacket.,Two people and an animal are outdoors.
entailment,"A rodeo rider in a black cowboy hat, sits atop a bucking bull exiting the gate in front of onlookers.",The rodeo participant begins his stint at bull riding while the crowd looks on.
entailment,"A man is preparing to tee off in golf, and there is a big crowd watching him.",The man is outdoors.
entailment,A person riding a four wheel ATV over a jump.,a person riding an atv
entailment,The woman gets a gift out of a christmas stocking.,A woman is getting a present
entailment,A man holding out a pot of food.,A man with his food.
entailment,A boy wearing red swim trunks is playing in the water at the beach.,a bay wears red
entailment,"A worker in a blue shirt is high up on the outside of a tall office building, cleaning the windows.",There is a window cleaner.
entailment,Two men pass on the street.,There are two  men
entailment,The badgers' pom team pose for a photo.,The badgers' pom team are getting their picture taken.
entailment,Man with a white hat and white shirt playing many instruments on stage next to a sign that says Appeared on Jimmy Kimmel.,A man is playing music on a stage.
entailment,A woman in a plaid coat is standing in front of washing machines inside a laundromat.,Woman in a laundromat.
entailment,A street performer's drum beats gain many onlookers.,The street performer is playing for a crowd.
entailment,"3 men in a band surround by equipment with all 3 holding guitars and the man in front looking down with a shoulder strap, brown pants and a white shirt.",3 men are musicians.
entailment,"Man with black hat, holding microphone next to girl with red-hair looking at a book.",A man is holding a microphone.
entailment,A student is cutting paper with delight.,The student is cutting paper.
entailment,A man with a yellow jacket on a motorcycle has stopped to talk to two men.,the men are talking
entailment,Young children are dressed in brightly colored clothed playing together in a bounce house.,The children are under the age of 47 years old.
entailment,"A young woman in an ""I Heart Bill Clinton"" T-Shirt cooks meat on a grill in a public picnic area, while two young men converse behind her and a bicyclist and motorcyclist ride by on a nearby road in the background.",A young woman grills meat outside
entailment,2 elders flower shopping for their husbands grave.,the elders are shopping
entailment,A military man is aiming his gun.,A man is aiming his gun.
entailment,"A band performs live for the ""Good Morning America"" Summer Concert Series in front of an audience.",A group of musicians plays a live show for a TV audience.
entailment,four young people have stopped to listen to a man play a saxophone.,A man is playing the saxophone.
entailment,A woman walking towards us on a street with a seated man looking on.,A woman walks down the street.
entailment,Group of american camel riders on a dirt road smiling and having fun.,A group of people smiling.
entailment,"A blond woman in a beige hat and black shirt, looks behind her, smiling at the camera, with a group of other people talking in the background on a street.","A blonde lady in a brown hat and black shirt is looking over her shoulder, smiling at a camera, while a group of people chatter behind her."
entailment,"A football team of young boys wearing yellow and black striped shirts are happy, with one child hugging an adult.",The football team has on yellow and black jerseys.
entailment,A man dressed in red is riding a beautiful white horse in some sort of exhibition or competition.,A man is riding his horse in a competition
entailment,"A male soldier in green military fatigues, inspecting an old, metal weapon, placed on a bed of grass.",man inspects weapon
entailment,two little girls making some kind of art.,Two little girls were being artistic.
entailment,A man stands next to three video game machines and a beer sign.,A man is in a bar
entailment,A man wearing glasses sits in the backseat of a car and plays a guitar while looking out the window.,A man sat down in the back of a car and played guitar.
entailment,several people look on as gymnasts try to stick their routines.,Several people Watch gymnasts.
entailment,"a man wearing blue shorts, striped shirt, and brown sandals stands at a street vendor selling vegetables engaging with a person working there in a sleeveless shirt.",a man buying vegetables at street
entailment,A football player blocks someone from the other team so his teammate can pass the ball down the field.,A player blocks another player from the opposing side in a game of football.
entailment,A football player wearing a number ten jersey is catching a football with both hands.,A person
entailment,A man operating a crane concentrates while inside of a protective booth.,A man operates a crane.
entailment,Women are surrounding a table full of handbags.,The handbags are different colors and styles.
entailment,Several men are playing ice hockey in an arena.,Men are playing ice hockey.
entailment,A man is being suspended in the air next to the window of a building which he is cleaning.,The man is in the air.
entailment,A male driving a bulldozer to plow green grass and rocks,A man is using a bulldozer.
entailment,"A young boy, wearing a red sports uniform, stands in the middle of an empty sports field under a dark blue sky.",A boy stands in a sports field at night.
entailment,A lady in a red cap serving food to the community.,There is food for people in the community to eat.
entailment,an Asian girl carrying a pink bag is walking away down a busy city street.,The street is occupied by at least a girl.
entailment,A group of children in the park watch as a young girl in a purple shirt and blue jean skirt makes a large bubble.,A group of children are outside at a park.
entailment,The little boy is holding his toy while two women look at him from the table.,A kid has a toy and people are looking at him.
entailment,One boxer in white shorts is punching the other boxer in blue and red shorts in the face.,Two boxers are fighting.
entailment,The family has a fun day out pretending to be tightrope walkers.,A group of people are spending the day together.
entailment,A man in protective gear is riding a go-cart down a road.,A man is riding a go-cart.
entailment,A wrestler crouches in pain while his opponent walks in the opposite direction.,A person in pain
entailment,"A van painted in bright blue, pink, and green is driving down the road.",There is a vehicle in this picture.
entailment,A girl with blond-hair is jumping off a tire swing,a girl is outdoors
entailment,a family takes a ride on a yellow boat.,A family is together in a boat
entailment,A smiling young woman is shown from the shoulders up with her long hair blowing in the wind.,A women with long hair is enjoying the outside.
entailment,"The kitchen worker at a restaurant observes the dining room, including a man in a red jacket.",The worker is employed.
entailment,A group of people standing on a corner waiting for public transport.,People are outside on the street corner.
entailment,Many of the dishes contain rice.,The food is cooked
entailment,"A woman in a white sweater looks at three types of lamps in an art display, while a man with a shaved head looks on in shadow.",There are people at an art display.
entailment,White bird walking across wet sand.,There is a bird on the beach.
entailment,A young boy practices his bat swing while in the stands with blue seats.,A young boy is practicing baseball.
entailment,A young man jumps over a hurdle on a track.,A man jumping.
entailment,A group of asian friends.,Asian friends are together.
entailment,A little boy starts to toss a mini basketball.,A boy tossing a basketball
entailment,A man picking up a big rock.,A man is lifting something
entailment,A boy wearing cowboy gear stands next to a cow and trailer.,There is a cow next to a boy.
entailment,Woman wearing maroon sweater carrying guitar in the woods,Woman carries a thing outside.
entailment,A girl with a black purse sitting on a wooden bench.,A girl is relaxing on a bench.
entailment,Several people is hard hats are standing on a structure.,There are people wearing hard hats
entailment,A little boy chases chickens.,A boy running after chickens.
entailment,Clown in red and black checkered pants on stilts acts as a puppet master as a female in blue hair acts as a marionette.,A human standing
entailment,A male fire-dancer performs.,The male is near fire.
entailment,A dog in the snow ripping an object with its teeth,The dog is outside in the snow.
entailment,Three little boys take a bath in a rubber bin on the grass.,Three boys are cleaning themselves.
entailment,a couple walking along on a sidewalk,The couple are outside.
entailment,The white dog is lying on the grass and chewing a piece of wood.,"A dog chews wood, outside on the grass."
